,loss,val_loss
0,0.0005020541721023619,2.5864612780424068e-06
1,8.413610885327216e-06,3.1038760539559007e-07
2,7.001437097642338e-06,2.3691322326158115e-07
3,8.128376975946594e-06,4.0239410736830905e-07
4,8.940842235460877e-06,3.8768666854593903e-07
5,8.830711522023194e-06,4.2423863533258555e-07
6,9.437045264348853e-06,3.5108388374283095e-07
7,8.875891580828466e-06,3.199845082235697e-07
8,8.919390893424861e-06,2.904482983012713e-07
9,8.83152551978128e-06,2.3566646234485233e-07
10,8.977393008535728e-06,2.2038649660771625e-07
11,8.972206160251517e-06,2.656421429492184e-07
12,8.82697531778831e-06,3.597036197788839e-07
13,8.949975381256081e-06,3.4164369822065055e-07
14,8.689027708896901e-06,2.79206091136075e-07
15,8.650871677673422e-06,2.598230821604375e-07
16,8.75804471434094e-06,2.6794199925461726e-07
17,8.733755748835392e-06,2.946365782463545e-07
18,8.958022590377368e-06,2.706705402033549e-07
19,9.219251296599396e-06,2.479078204942198e-07
20,9.506728929409292e-06,2.210209828490406e-07
21,1.0050093806057703e-05,2.478001590588974e-07
22,1.020115814753808e-05,2.1508438408091024e-07
23,1.009143397823209e-05,2.481153558164806e-07
24,1.0513909728615545e-05,2.882173077978223e-07
25,1.0903657312155701e-05,2.356023145466679e-07
26,1.0751474292192142e-05,3.146418237065518e-07
27,1.0438351637276355e-05,2.742907270203432e-07
28,1.0553927495493554e-05,3.355258400006278e-07
29,1.0881846719712485e-05,3.0796618943895737e-07
