,loss,val_loss
0,0.0002772387524601072,1.8120894083040184e-06
1,3.5496268537826836e-05,6.101743679209903e-07
2,3.737640508916229e-05,8.993293931780499e-07
3,3.935128916054964e-05,1.218479042108811e-06
4,4.106030610273592e-05,1.6297126421704888e-06
5,4.109362271265127e-05,1.939589083121973e-06
6,4.0660015656612813e-05,2.1991049834468868e-06
7,4.021213317173533e-05,2.3600825898029143e-06
8,3.994429062004201e-05,2.508737225070945e-06
9,3.982720954809338e-05,2.623670525281341e-06
10,3.972622653236613e-05,2.7551036509976257e-06
11,3.963013659813441e-05,2.804043560900027e-06
12,3.938190275221132e-05,2.8565477805386763e-06
13,3.933123662136495e-05,2.8562355964822927e-06
14,3.944131822208874e-05,2.8317228952801088e-06
15,3.8806039810879156e-05,2.3818940917408327e-06
16,3.965090218116529e-05,2.7441076326795155e-06
17,3.9727117837173864e-05,2.6162749691138742e-06
18,3.978536915383302e-05,2.4179578304028837e-06
19,3.9832480979384854e-05,2.1908801954850787e-06
20,3.9799106161808595e-05,2.001699840548099e-06
21,3.963539711548947e-05,1.7727913927956251e-06
22,3.9583064790349454e-05,1.568032303111977e-06
23,3.953083069063723e-05,1.3767156588073703e-06
24,3.950982863898389e-05,1.2099568493795232e-06
25,3.949880920117721e-05,1.037570541484456e-06
26,3.944500713259913e-05,9.234801154889283e-07
27,3.9460635889554396e-05,8.215173465941916e-07
28,3.9404745621141046e-05,7.65671870794904e-07
29,3.9217673474922776e-05,8.332591505677556e-07
